Safra,Cidade,Mes,Mes_Num,Ano_Calendario,Fase_Fenologica,Data_Liquidacao,Dias_Uteis_Vencimento,Taxa_Juros_Usada_pct,Chuva_Media_Hist_mm,N_Anos_Historico,Strike_Pct,Strike_mm,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,Payoff_Max_RS,VaR95_Vendedor_RS,Payoff_P99_RS
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,50%,137.8,0.029,0.042,249.4,145.01,197.2,9000.0,0.0,4807.33
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,60%,165.3,0.143,0.101,487.1,441.22,464.16,9000.0,3439.98,8821.68
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,70%,192.9,0.229,0.187,1177.52,1000.21,1088.87,9000.0,7639.23,9000.0
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,80%,220.5,0.286,0.302,2057.57,1865.75,1961.66,9000.0,9000.0,9000.0
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,30%,16.6,0.167,0.156,270.06,188.62,229.34,9000.0,1379.98,2096.74
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,40%,22.1,0.194,0.228,448.29,374.81,411.55,9000.0,2189.57,2910.49
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,50%,27.7,0.194,0.301,638.38,647.3,642.84,9000.0,3073.88,3780.13
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,60%,33.2,0.278,0.37,853.71,962.67,908.19,9000.0,3862.38,4583.98
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,70%,38.7,0.417,0.437,1183.92,1360.97,1272.45,9000.0,4694.0,5423.37
2026/2027,Lucas do Rio Verde,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,55.3,36,80%,44.3,0.417,0.494,1591.27,1807.27,1699.27,9000.0,5514.47,6264.15
